"X","...1","s.gender","s.level","infect","read.amt","pre.readf1","pre.readf2","pre.readf3","pre.readf4","pre.readf5","pre.readf6","post.readf1","post.readf2","post.readf3","post.readf4","post.readf5","post.readf6","stress.1","stress.2","stress.3","stress.4","stress.5","stu.engage.1","stu.engage.2","stu.engage.3","stu.engage.4","stu.itcap","learn.per1","learn.per2","gpax.y1","gpax.y2","gender","t.exp","t.itcap","climate.pro.1","climate.pro.2","climate.pro.3","climate.pro.4","climate.pro.5","climate.pro.6","t.mode","location","internet","it.equip"
1,1,2,1,1,3,1,3,1,2,1,2,1,4,4,4,1,4,3,2,3,2,2,5,4,5,5,2,9.8,16.28,2.83,2.53,2,2,1,1,1,3,2,1,1,1,"C",2,2
2,2,1,1,1,1,1,2,4,1,1,2,1,1,4,2,1,2,2,2,3,1,1,5,4,4,5,3,11.6,18.3,3.21,3.17,2,1,3,3,1,2,4,3,1,1,"C",2,2
3,3,2,1,2,3,3,2,1,3,1,3,1,3,4,4,2,4,5,5,5,5,5,2,1,2,2,1,11.2,0.33,2.51,1.1,1,2,3,3,1,2,1,2,1,1,"C",2,0
4,4,1,1,1,3,2,3,4,1,1,2,1,2,2,4,1,3,3,2,3,2,3,3,3,3,2,2,12.8,6.44,2.77,2.15,2,1,2,4,2,3,3,3,5,1,"C",2,1
5,5,1,1,1,3,1,4,4,1,1,1,1,1,4,4,1,2,2,1,2,1,1,5,5,5,5,3,16.2,17.91,2.87,2.78,2,2,3,5,5,5,5,5,5,1,"C",2,1
6,6,2,1,2,3,1,1,4,1,1,1,1,3,4,4,1,4,4,2,4,3,3,4,4,4,5,2,11.6,8.9,2.89,2.24,2,3,2,5,4,5,5,5,5,1,"C",2,1
7,7,1,1,2,3,2,3,3,1,1,4,1,4,4,4,1,3,3,2,3,2,1,5,4,4,4,3,6.3,15.25,2.27,2.05,1,3,2,4,3,3,4,5,5,1,"C",2,1
8,8,1,1,2,3,3,3,4,3,1,2,1,3,4,4,1,4,4,4,4,3,4,3,2,3,2,1,8.3,1.86,2.71,1.5,2,2,2,4,3,3,3,4,2,1,"C",2,1
9,9,1,1,2,3,1,3,1,4,1,1,1,2,4,3,1,4,1,1,1,1,1,5,5,5,5,3,14.3,19.87,3.47,3.45,2,2,1,4,3,5,1,3,4,1,"C",2,3
10,10,2,1,2,3,2,3,2,1,1,4,1,4,2,1,1,4,4,5,4,5,5,3,3,2,3,1,10.9,4.85,3.01,2.04,2,1,2,3,3,3,4,2,1,1,"C",2,0
11,11,1,1,2,3,1,4,2,2,1,1,1,2,4,3,1,4,4,3,4,4,3,2,1,1,1,1,13.1,0.78,2.97,1.72,1,3,1,1,1,1,1,1,1,1,"C",2,0
